timestamp,low,open,close,high,volume,num_trades,price_outlier,volume_outlier
2022-01-01 00:00:00+00:00,46208.37,46216.93,46656.13,46731.39,1503.33,33254,False,False
2022-01-01 01:00:00+00:00,46574.06,46656.14,46778.14,46949.99,943.82,27484,False,False
2022-01-01 02:00:00+00:00,46721.96,46778.14,46811.77,46928.94,485.17,21615,False,False
2022-01-01 03:00:00+00:00,46760.12,46811.77,46813.2,46916.63,562.89,16974,False,False
2022-01-01 04:00:00+00:00,46591.23,46813.21,46711.05,46887.33,861.88,20138,False,False
2022-01-01 05:00:00+00:00,46673.94,46711.05,47192.55,47555.55,1400.74,35436,False,False
2022-01-01 06:00:00+00:00,46940.0,47192.56,46979.62,47324.42,613.98,20591,False,False
2022-01-01 07:00:00+00:00,46864.84,46979.61,47194.73,47255.85,646.2,21964,False,False
2022-01-01 08:00:00+00:00,47075.11,47194.73,47124.82,47344.69,532.45,20788,False,False
2022-01-01 09:00:00+00:00,46933.58,47124.82,47143.98,47215.56,541.32,22059,False,False
2022-01-01 10:00:00+00:00,46715.39,47143.98,46871.08,47298.75,923.02,28345,False,False
2022-01-01 11:00:00+00:00,46756.77,46871.09,46758.87,47007.73,732.89,23436,False,False
2022-01-01 12:00:00+00:00,46756.3,46758.87,47074.05,47150.48,582.15,21877,False,False
2022-01-01 13:00:00+00:00,46935.09,47074.05,47023.24,47199.67,454.14,20378,False,False
2022-01-01 14:00:00+00:00,46850.18,47023.24,46926.22,47100.0,503.66,19934,False,False
2022-01-01 15:00:00+00:00,46871.69,46920.01,47219.04,47491.14,1515.95,32214,False,False
2022-01-01 16:00:00+00:00,47186.07,47219.04,47268.62,47527.24,1049.58,29827,False,False
2022-01-01 17:00:00+00:00,47238.81,47268.61,47754.48,47954.63,1320.67,40791,False,False
2022-01-01 18:00:00+00:00,47420.0,47754.47,47560.55,47844.97,860.76,27612,False,False
2022-01-01 19:00:00+00:00,47292.72,47560.54,47329.78,47611.84,830.67,24193,False,False
2022-01-01 20:00:00+00:00,47250.18,47329.79,47391.82,47559.03,717.21,22439,False,False
