timestamp,low,open,close,high,volume,price_outlier,volume_outlier
2022-01-01 00:00:00+00:00,1.307709,1.307724,1.329825,1.33334,640495.56,False,False
2022-01-01 01:00:00+00:00,1.327028,1.329745,1.327642,1.33716,589082.68,False,False
2022-01-01 02:00:00+00:00,1.324618,1.327932,1.325709,1.333981,351055.01,False,False
2022-01-01 03:00:00+00:00,1.324436,1.325868,1.324552,1.33006,469051.39,False,False
2022-01-01 04:00:00+00:00,1.306355,1.324655,1.307944,1.326351,504233.01,False,False
2022-01-01 05:00:00+00:00,1.307784,1.30858,1.3263,1.338317,698395.28,False,False
2022-01-01 06:00:00+00:00,1.315841,1.326695,1.316634,1.328836,310719.37,False,False
2022-01-01 07:00:00+00:00,1.314262,1.316351,1.323971,1.32731,288514.79,False,False
2022-01-01 08:00:00+00:00,1.321754,1.324073,1.326402,1.329391,356149.55,False,False
2022-01-01 09:00:00+00:00,1.319621,1.3264,1.327075,1.333159,365259.23,False,False
2022-01-01 10:00:00+00:00,1.31061,1.326915,1.316846,1.332729,424815.28,False,False
2022-01-01 11:00:00+00:00,1.316685,1.316981,1.31875,1.32558,295594.41,False,False
2022-01-01 12:00:00+00:00,1.318437,1.31882,1.330768,1.333103,439198.98,False,False
2022-01-01 13:00:00+00:00,1.326182,1.330753,1.329104,1.339,462928.99,False,False
2022-01-01 14:00:00+00:00,1.32447,1.329338,1.327351,1.33557,255529.49,False,False
2022-01-01 15:00:00+00:00,1.326023,1.327232,1.333695,1.3387,289921.59,False,False
2022-01-01 16:00:00+00:00,1.33076,1.333598,1.334956,1.339888,534592.52,False,False
2022-01-01 17:00:00+00:00,1.330519,1.335,1.346786,1.34923,699354.51,False,False
2022-01-01 18:00:00+00:00,1.3369,1.346205,1.343915,1.34826,763182.4,False,False
2022-01-01 19:00:00+00:00,1.33791,1.343916,1.346093,1.348601,506684.37,False,False
2022-01-01 20:00:00+00:00,1.344714,1.346093,1.353561,1.358052,676532.07,False,False
2022-01-01 21:00:00+00:00,1.350044,1.353561,1.361458,1.364,518585.6,False,False
2022-01-01 22:00:00+00:00,1.357062,1.361458,1.372359,1.375,682775.32,False,False
2022-01-01 23:00:00+00:00,1.36368,1.372359,1.379724,1.379809,708355.21,False,False
2022-01-02 00:00:00+00:00,1.3648,1.379369,1.373008,1.382209,661529.42,False,False
2022-01-02 01:00:00+00:00,1.350044,1.373044,1.350808,1.373497,795724.05,False,False
2022-01-02 02:00:00+00:00,1.351223,1.351746,1.35585,1.361676,407685.37,False,False
2022-01-02 03:00:00+00:00,1.3524,1.355857,1.355804,1.359996,265076.18,False,False
2022-01-02 04:00:00+00:00,1.341876,1.356495,1.348696,1.369883,978805.49,False,False
2022-01-02 05:00:00+00:00,1.34624,1.348291,1.35529,1.35529,447350.95,False,False
2022-01-02 06:00:00+00:00,1.35023,1.354312,1.357512,1.363676,331742.47,False,False
2022-01-02 07:00:00+00:00,1.351447,1.357258,1.354929,1.36545,393700.45,False,False
2022-01-02 08:00:00+00:00,1.348167,1.354804,1.356785,1.358748,198991.95,False,False
2022-01-02 09:00:00+00:00,1.353911,1.357239,1.357815,1.368598,366999.55,False,False
2022-01-02 10:00:00+00:00,1.356075,1.357805,1.360522,1.363107,236296.38,False,False
2022-01-02 11:00:00+00:00,1.359852,1.360693,1.363939,1.36779,144037.15,False,False
2022-01-02 12:00:00+00:00,1.355225,1.363866,1.367266,1.374932,551378.91,False,False
2022-01-02 13:00:00+00:00,1.357914,1.36687,1.358808,1.367147,543366.26,False,False
2022-01-02 14:00:00+00:00,1.355418,1.35845,1.360806,1.365709,351774.76,False,False
2022-01-02 15:00:00+00:00,1.359584,1.360831,1.36943,1.3723,448796.7,False,False
2022-01-02 16:00:00+00:00,1.369289,1.369969,1.384949,1.386813,1030446.5,False,False
2022-01-02 17:00:00+00:00,1.376864,1.385005,1.379687,1.390908,748236.88,False,False
2022-01-02 18:00:00+00:00,1.354969,1.379689,1.367879,1.380258,1376355.17,False,False
2022-01-02 19:00:00+00:00,1.36141,1.367471,1.361881,1.37328,410262.3,False,False
2022-01-02 20:00:00+00:00,1.35773,1.361818,1.364167,1.36554,379850.59,False,False
2022-01-02 21:00:00+00:00,1.36,1.364,1.362915,1.368045,335876.38,False,False
2022-01-02 22:00:00+00:00,1.362593,1.362646,1.370787,1.373721,344020.54,False,False
2022-01-02 23:00:00+00:00,1.370923,1.370923,1.378126,1.379562,444394.93,False,False
2022-01-03 00:00:00+00:00,1.361933,1.377377,1.362159,1.377529,480083.77,False,False
